file	graph_id	defect	severity	detail
data/traits/ecology/gut_associated.yaml	gut_associated_microbiota_metabolism	MICROBE_DOMAIN_ON_NONORGANISM	WARN	peristalsis--METPO:2000017-->duodenal_retention subject_type=ENVIRONMENTAL_FACTOR predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/ecology/plant_pathogen.yaml	plant_pathogen_t3ss_effector_program	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cwd_enzymes--METPO:2000007-->plant_cell_wall subject_type=GENE_OR_PROTEIN predicate='degrades' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/ecology/saprotrophy.yaml	saprotrophy_decomposition_cycling	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cazymes--METPO:2000013-->hemicellulose subject_type=GENE_OR_PROTEIN predicate='hydrolyzes' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/acidotolerant.yaml	acidotolerant_acid_stress_homeostasis	MICROBE_DOMAIN_ON_NONORGANISM	WARN	membrane_lipid_remodeling--METPO:2000017-->inward_proton_leakage subject_type=BIOLOGICAL_PROCESS predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/aerobic.yaml	aerobic_trait_mechanism	MICROBE_DOMAIN_ON_NONORGANISM	WARN	terminal_oxidases--METPO:2000017-->molecular_oxygen subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/alkaphilic.yaml	alkaliphilic_na_cycle_homeostasis	MICROBE_DOMAIN_ON_NONORGANISM	WARN	sodium_proton_antiporter--METPO:2000208-->proton subject_type=GENE_OR_PROTEIN predicate='imports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/arsenic_tolerant.yaml	arsenic_tolerance_ars_efflux	MICROBE_DOMAIN_ON_NONORGANISM	WARN	arsC_reductase--METPO:2000017-->arsenate subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/cobalt_tolerant.yaml	cobalt_tolerance_czc_cnr_efflux	MICROBE_DOMAIN_ON_NONORGANISM	WARN	czcCBA_complex--METPO:2000209-->cobalt_ion subject_type=GENE_OR_PROTEIN predicate='exports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/cobalt_tolerant.yaml	cobalt_tolerance_czc_cnr_efflux	MICROBE_DOMAIN_ON_NONORGANISM	WARN	dmeF_exporter--METPO:2000209-->cobalt_ion subject_type=GENE_OR_PROTEIN predicate='exports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/euryhaline.yaml	euryhaline_wide_salinity_tolerance	MICROBE_DOMAIN_ON_NONORGANISM	WARN	compatible_solute_transport--METPO:2000208-->compatible_solutes subject_type=MOLECULAR_FUNCTION predicate='imports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
