metpo_curie	label	category	match_method	n_kgm_nodes	kgm_nodes
METPO:1004002	animal pathogen	ecology	direct_metpo	1	METPO:1004002
traitmech:000053	biofilm formation	ecology	no_match	0	
METPO:1001101	biosafety level	ecology	direct_metpo	1	METPO:1001101
METPO:1001102	biosafety level 1	ecology	direct_metpo	1	METPO:1001102
METPO:1001103	biosafety level 2	ecology	direct_metpo	1	METPO:1001103
METPO:1001104	biosafety level 3	ecology	direct_metpo	1	METPO:1001104
METPO:1001105	biosafety level 4	ecology	direct_metpo	1	METPO:1001105
METPO:1001106	biosafety level 5	ecology	direct_metpo	1	METPO:1001106
traitmech:000042	commensalism	ecology	no_match	0	
traitmech:000045	endosymbiosis	ecology	no_match	0	
traitmech:000048	free-living	ecology	no_match	0	
traitmech:000052	gut-associated	ecology	no_match	0	
traitmech:000047	habitat association	ecology	no_match	0	
traitmech:000049	host-associated	ecology	no_match	0	
METPO:1004004	human pathogen	ecology	direct_metpo	1	METPO:1004004
traitmech:000041	mutualism	ecology	no_match	0	
traitmech:000044	nitrogen-fixing symbiosis	ecology	no_match	0	
traitmech:000046	opportunistic pathogen	ecology	no_match	0	
traitmech:000043	parasitism	ecology	no_match	0	
METPO:1004000	pathogenic to host	ecology	direct_metpo	1	METPO:1004000
METPO:1004003	plant pathogen	ecology	direct_metpo	1	METPO:1004003
traitmech:000054	predatory bacterium	ecology	no_match	0	
traitmech:000051	rhizosphere association	ecology	no_match	0	
traitmech:000055	saprotrophy	ecology	no_match	0	
traitmech:000050	soil-dwelling	ecology	no_match	0	
traitmech:000040	symbiosis	ecology	no_match	0	
METPO:1003003	acidophilic	environment	direct_metpo	1	METPO:1003003
METPO:1003008	acidotolerant	environment	direct_metpo	1	METPO:1003008
METPO:1000602	aerobic	environment	direct_metpo	1	METPO:1000602
METPO:1000609	aerotolerant	environment	direct_metpo	1	METPO:1000609
METPO:1003009	alkalotolerant	environment	direct_metpo	1	METPO:1003009
METPO:1003002	alkaphilic	environment	direct_metpo	1	METPO:1003002
METPO:1000603	anaerobic	environment	direct_metpo	1	METPO:1000603
