file	graph_id	wired_nodes	components	largest_component	component_sizes
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation	17	2	15	15,2
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	13	3	9	9,2,2
data/traits/ecology/biosafety_level.yaml	biosafety_level_hazard_classification	15	2	13	13,2
data/traits/ecology/biosafety_level_1.yaml	biosafety_level_1_minimal_hazard	10	2	8	8,2
data/traits/ecology/biosafety_level_2.yaml	biosafety_level_2_moderate_hazard	10	2	8	8,2
data/traits/ecology/biosafety_level_3.yaml	biosafety_level_3_serious_hazard	10	2	8	8,2
data/traits/ecology/biosafety_level_4.yaml	biosafety_level_4_extreme_hazard	10	1	10	10
data/traits/ecology/biosafety_level_5.yaml	biosafety_level_5_proposed_enhanced_hazard	3	1	3	3
data/traits/ecology/commensalism.yaml	commensalism_neutral_host	11	1	11	11
data/traits/ecology/endosymbiosis.yaml	endosymbiosis_intracellular_genome_reduction	10	3	6	6,2,2
data/traits/ecology/free_living.yaml	free_living_environmental_habitat	9	2	7	7,2
data/traits/ecology/gut_associated.yaml	gut_associated_microbiota_metabolism	12	3	8	8,2,2
data/traits/ecology/habitat_association.yaml	habitat_association_biogeographic_structure	10	2	6	6,4
data/traits/ecology/host_associated.yaml	host_associated_microbiome	11	1	11	11
data/traits/ecology/human_pathogen.yaml	human_pathogen_anthropoid_adaptation	13	1	13	13
data/traits/ecology/mutualism.yaml	mutualism_reciprocal_benefit	10	3	6	6,2,2
data/traits/ecology/nitrogen_fixing_symbiosis.yaml	rhizobia_legume_n2_fixation	11	1	11	11
data/traits/ecology/opportunistic_pathogen.yaml	opportunistic_pathogen_context_dependent_virulence	10	1	10	10
data/traits/ecology/parasitism.yaml	parasitism_host_fitness_cost	12	1	12	12
data/traits/ecology/pathogenic_to_host.yaml	pathogenic_to_host_virulence_factor_program	14	2	12	12,2
data/traits/ecology/plant_pathogen.yaml	plant_pathogen_t3ss_effector_program	13	2	10	10,3
data/traits/ecology/predatory_bacterium.yaml	predatory_bacterium_prey_killing	13	1	13	13
data/traits/ecology/rhizosphere_association.yaml	rhizosphere_root_exudate	9	2	6	6,3
data/traits/ecology/saprotrophy.yaml	saprotrophy_decomposition_cycling	14	5	4	4,3,3,2,2
data/traits/ecology/soil_dwelling.yaml	soil_dwelling_biogeochemistry	14	6	3	3,3,2,2,2,2
data/traits/ecology/symbiosis.yaml	symbiosis_host_interaction	13	2	7	7,6
data/traits/environment/acidophilic.yaml	acidophilic_ph_homeostasis	13	3	9	9,2,2
data/traits/environment/acidotolerant.yaml	acidotolerant_acid_stress_homeostasis	9	1	9	9
data/traits/environment/aerobic.yaml	aerobic_trait_mechanism	11	1	11	11
data/traits/environment/aerotolerant.yaml	aerotolerant_anaerobe_ros_defense	11	3	5	5,4,2
data/traits/environment/alkalotolerant.yaml	alkalotolerant_alkaline_stress_homeostasis	11	2	9	9,2
data/traits/environment/alkaphilic.yaml	alkaliphilic_na_cycle_homeostasis	11	2	8	8,3
data/traits/environment/anaerobic.yaml	anaerobic_trait_oxygen_exclusion	10	1	10	10
data/traits/environment/arsenic_tolerant.yaml	arsenic_tolerance_ars_efflux	13	1	13	13
data/traits/environment/cadmium_tolerant.yaml	cadmium_tolerance_czc_efflux	8	1	8	8
data/traits/environment/cobalt_tolerant.yaml	cobalt_tolerance_czc_cnr_efflux	11	1	11	11
data/traits/environment/copper_tolerant.yaml	copper_tolerance_cop_efflux	7	1	7	7
data/traits/environment/delta_phenotype_with_numerical_limits.yaml	delta_phenotype_breadth_descriptor	10	1	10	10
data/traits/environment/desiccation_tolerant.yaml	desiccation_anhydrobiosis_repair	13	3	7	7,4,2
data/traits/environment/euryhaline.yaml	euryhaline_wide_salinity_tolerance	17	3	13	13,2,2
data/traits/environment/extreme_hyperthermophilic.yaml	extreme_hyperthermophilic_archaeal_adaptation	11	2	7	7,4
data/traits/environment/extremely_halophilic.yaml	extreme_halophile_salt_in_acidic_proteome	11	2	9	9,2
data/traits/environment/facultative_oxygen_preference.yaml	facultative_oxygen_preference_switching	9	1	9	9
data/traits/environment/facultative_psychrophilic.yaml	facultative_psychrophilic_cold_tolerance	13	2	11	11,2
data/traits/environment/facultatively_acidophilic.yaml	facultatively_acidophilic_ph_homeostasis	15	2	13	13,2
data/traits/environment/facultatively_aerobic.yaml	facultative_aerobe_oxygen_flexible_growth	11	3	7	7,2,2
data/traits/environment/facultatively_alkaphilic.yaml	facultatively_alkaphilic_sodium_cycle_homeostasis	11	3	5	5,4,2
data/traits/environment/facultatively_anaerobic.yaml	facultative_anaerobe_oxygen_switch	8	1	8	8
data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml	growth_range_phenotype_descriptor	15	3	11	11,2,2
data/traits/environment/haloalkaliphilic.yaml	haloalkaliphilic_salt_alkaline_adaptation	13	2	11	11,2
data/traits/environment/halophilic.yaml	halophilic_osmoadaptation	15	3	11	11,2,2
data/traits/environment/halophily_preference.yaml	halophily_preference_osmoadaptation	14	1	14	14
data/traits/environment/halotolerant.yaml	halotolerant_salt_stress_response	12	1	12	12
data/traits/environment/hyperthermophilic.yaml	hyperthermophilic_thermostability	13	2	10	10,3
data/traits/environment/ionizing_radiation_tolerant.yaml	ionizing_radiation_tolerance_dsb_repair	6	1	6	6
data/traits/environment/mercury_tolerant.yaml	mercury_tolerance_mer_reduction	9	1	9	9
data/traits/environment/mesophilic.yaml	mesophilic_homoviscous_adaptation	15	5	4	4,4,3,2,2
data/traits/environment/metal_tolerant.yaml	metal_tolerance_efflux_detoxification	9	2	6	6,3
data/traits/environment/microaerophilic.yaml	microaerophile_low_oxygen_respiration	14	4	7	7,3,2,2
data/traits/environment/microaerotolerant.yaml	microaerotolerant_low_oxygen_defense	13	3	7	7,4,2
data/traits/environment/moderately_halophilic.yaml	moderate_halophile_compatible_solutes	11	1	11	11
data/traits/environment/nacl_delta.yaml	nacl_delta_euryhaline_breadth	13	4	5	5,4,2,2
data/traits/environment/nacl_delta_high.yaml	nacl_delta_high_extreme_euryhaline	14	6	3	3,3,2,2,2,2
