normalized_text	display_text	owner_count	owners	record_paths
mesophilic	mesophilic	9	METPO:1000615 (LABEL: mesophilic) | METPO:1000443 (EXACT_SYNONYM: mesophilic) | METPO:1000444 (EXACT_SYNONYM: mesophilic) | METPO:1000445 (EXACT_SYNONYM: mesophilic) | METPO:1000446 (EXACT_SYNONYM: mesophilic) | METPO:1000450 (EXACT_SYNONYM: mesophilic) | METPO:1000451 (EXACT_SYNONYM: mesophilic) | METPO:1000452 (EXACT_SYNONYM: mesophilic) | METPO:1000453 (EXACT_SYNONYM: mesophilic)	data/traits/environment/mesophilic.yaml | data/traits/environment/temperature_optimum_mid1.yaml | data/traits/environment/temperature_optimum_mid2.yaml | data/traits/environment/temperature_optimum_mid3.yaml | data/traits/environment/temperature_optimum_mid4.yaml | data/traits/environment/temperature_range_mid1.yaml | data/traits/environment/temperature_range_mid2.yaml | data/traits/environment/temperature_range_mid3.yaml | data/traits/environment/temperature_range_mid4.yaml
mesophilie	Mesophilie	8	METPO:1000443 (EXACT_SYNONYM: Mesophilie) | METPO:1000444 (EXACT_SYNONYM: Mesophilie) | METPO:1000445 (EXACT_SYNONYM: Mesophilie) | METPO:1000446 (EXACT_SYNONYM: Mesophilie) | METPO:1000450 (EXACT_SYNONYM: Mesophilie) | METPO:1000451 (EXACT_SYNONYM: Mesophilie) | METPO:1000452 (EXACT_SYNONYM: Mesophilie) | METPO:1000453 (EXACT_SYNONYM: Mesophilie)	data/traits/environment/temperature_optimum_mid1.yaml | data/traits/environment/temperature_optimum_mid2.yaml | data/traits/environment/temperature_optimum_mid3.yaml | data/traits/environment/temperature_optimum_mid4.yaml | data/traits/environment/temperature_range_mid1.yaml | data/traits/environment/temperature_range_mid2.yaml | data/traits/environment/temperature_range_mid3.yaml | data/traits/environment/temperature_range_mid4.yaml
alkali tolerant	Alkali Tolerant	7	METPO:1000458 (EXACT_SYNONYM: Alkali Tolerant) | METPO:1000456 (EXACT_SYNONYM: Alkali Tolerant) | METPO:1000457 (EXACT_SYNONYM: Alkali Tolerant) | METPO:1000464 (EXACT_SYNONYM: Alkali Tolerant) | METPO:1000461 (EXACT_SYNONYM: Alkali Tolerant) | METPO:1000462 (EXACT_SYNONYM: Alkali Tolerant) | METPO:1000463 (EXACT_SYNONYM: Alkali Tolerant)	data/traits/environment/ph_optimum_high.yaml | data/traits/environment/ph_optimum_mid1.yaml | data/traits/environment/ph_optimum_mid2.yaml | data/traits/environment/ph_range_high.yaml | data/traits/environment/ph_range_mid1.yaml | data/traits/environment/ph_range_mid2.yaml | data/traits/environment/ph_range_mid3.yaml
facultative acidophile	facultative acidophile	7	METPO:1003007 (EXACT_SYNONYM: facultative acidophile) | METPO:1000455 (EXACT_SYNONYM: Facultative acidophile) | METPO:1000460 (EXACT_SYNONYM: Facultative acidophile) | METPO:1000461 (EXACT_SYNONYM: Facultative acidophile) | METPO:1000462 (EXACT_SYNONYM: Facultative acidophile) | METPO:1000463 (EXACT_SYNONYM: Facultative acidophile) | METPO:1000459 (EXACT_SYNONYM: Facultative acidophile)	data/traits/environment/facultatively_acidophilic.yaml | data/traits/environment/ph_optimum_low.yaml | data/traits/environment/ph_range_low.yaml | data/traits/environment/ph_range_mid1.yaml | data/traits/environment/ph_range_mid2.yaml | data/traits/environment/ph_range_mid3.yaml | data/traits/environment/ph_range_very_low.yaml
halotolerant	halotolerant	7	METPO:1000622 (LABEL: halotolerant) | METPO:1000465 (EXACT_SYNONYM: Halotolerant) | METPO:1000466 (EXACT_SYNONYM: Halotolerant) | METPO:1000467 (EXACT_SYNONYM: Halotolerant) | METPO:1000469 (EXACT_SYNONYM: Halotolerant) | METPO:1000470 (EXACT_SYNONYM: Halotolerant) | METPO:1000471 (EXACT_SYNONYM: Halotolerant)	data/traits/environment/halotolerant.yaml | data/traits/environment/nacl_optimum_low.yaml | data/traits/environment/nacl_optimum_mid1.yaml | data/traits/environment/nacl_optimum_mid2.yaml | data/traits/environment/nacl_range_low.yaml | data/traits/environment/nacl_range_mid1.yaml | data/traits/environment/nacl_range_mid2.yaml
alkaliphile	alkaliphile	6	METPO:1003002 (EXACT_SYNONYM: alkaliphile) | METPO:1000458 (EXACT_SYNONYM: Alkaliphile) | METPO:1000457 (EXACT_SYNONYM: Alkaliphile) | METPO:1000464 (EXACT_SYNONYM: Alkaliphile) | METPO:1000462 (EXACT_SYNONYM: Alkaliphile) | METPO:1000463 (EXACT_SYNONYM: Alkaliphile)	data/traits/environment/alkaphilic.yaml | data/traits/environment/ph_optimum_high.yaml | data/traits/environment/ph_optimum_mid2.yaml | data/traits/environment/ph_range_high.yaml | data/traits/environment/ph_range_mid2.yaml | data/traits/environment/ph_range_mid3.yaml
neutrophile	neutrophile	5	METPO:1003001 (EXACT_SYNONYM: neutrophile) | METPO:1000456 (EXACT_SYNONYM: Neutrophile) | METPO:1000457 (EXACT_SYNONYM: Neutrophile) | METPO:1000461 (EXACT_SYNONYM: Neutrophile) | METPO:1000462 (EXACT_SYNONYM: Neutrophile)	data/traits/environment/neutrophilic.yaml | data/traits/environment/ph_optimum_mid1.yaml | data/traits/environment/ph_optimum_mid2.yaml | data/traits/environment/ph_range_mid1.yaml | data/traits/environment/ph_range_mid2.yaml
acidophile	acidophile	4	METPO:1003003 (EXACT_SYNONYM: acidophile) | METPO:1000455 (EXACT_SYNONYM: Acidophile) | METPO:1000460 (EXACT_SYNONYM: Acidophile) | METPO:1000459 (EXACT_SYNONYM: Acidophile)	data/traits/environment/acidophilic.yaml | data/traits/environment/ph_optimum_low.yaml | data/traits/environment/ph_range_low.yaml | data/traits/environment/ph_range_very_low.yaml
psychrophile	Psychrophile	4	METPO:1000442 (EXACT_SYNONYM: Psychrophile) | METPO:1000441 (EXACT_SYNONYM: Psychrophile) | METPO:1000449 (EXACT_SYNONYM: Psychrophile) | METPO:1000448 (EXACT_SYNONYM: Psychrophile)	data/traits/environment/temperature_optimum_low.yaml | data/traits/environment/temperature_optimum_very_low.yaml | data/traits/environment/temperature_range_low.yaml | data/traits/environment/temperature_range_very_low.yaml
acid tolerant	Acid Tolerant	3	METPO:1000455 (EXACT_SYNONYM: Acid Tolerant) | METPO:1000460 (EXACT_SYNONYM: Acid Tolerant) | METPO:1000459 (EXACT_SYNONYM: Acid Tolerant)	data/traits/environment/ph_optimum_low.yaml | data/traits/environment/ph_range_low.yaml | data/traits/environment/ph_range_very_low.yaml
extreme alkaliphile	Extreme Alkaliphile	3	METPO:1000458 (EXACT_SYNONYM: Extreme Alkaliphile) | METPO:1000464 (EXACT_SYNONYM: Extreme Alkaliphile) | METPO:1000463 (EXACT_SYNONYM: Extreme Alkaliphile)	data/traits/environment/ph_optimum_high.yaml | data/traits/environment/ph_range_high.yaml | data/traits/environment/ph_range_mid3.yaml
obligative acidophile	Obligative acidophile	3	METPO:1000455 (EXACT_SYNONYM: Obligative acidophile) | METPO:1000460 (EXACT_SYNONYM: Obligative acidophile) | METPO:1000459 (EXACT_SYNONYM: Obligative acidophile)	data/traits/environment/ph_optimum_low.yaml | data/traits/environment/ph_range_low.yaml | data/traits/environment/ph_range_very_low.yaml
psychrotolerant	psychrotolerant	3	METPO:1000618 (LABEL: psychrotolerant) | METPO:1000442 (EXACT_SYNONYM: Psychrotolerant) | METPO:1000449 (EXACT_SYNONYM: Psychrotolerant)	data/traits/environment/psychrotolerant.yaml | data/traits/environment/temperature_optimum_low.yaml | data/traits/environment/temperature_range_low.yaml
extreme acidophile	Extreme Acidophile	2	METPO:1000455 (EXACT_SYNONYM: Extreme Acidophile) | METPO:1000459 (EXACT_SYNONYM: Extreme Acidophile)	data/traits/environment/ph_optimum_low.yaml | data/traits/environment/ph_range_very_low.yaml
extreme halophile	Extreme halophile	2	METPO:1000468 (EXACT_SYNONYM: Extreme halophile) | METPO:1000472 (EXACT_SYNONYM: Extreme halophile)	data/traits/environment/nacl_optimum_high.yaml | data/traits/environment/nacl_range_high.yaml
moderate halophile	Moderate halophile	2	METPO:1000467 (EXACT_SYNONYM: Moderate halophile) | METPO:1000471 (EXACT_SYNONYM: Moderate halophile)	data/traits/environment/nacl_optimum_mid2.yaml | data/traits/environment/nacl_range_mid2.yaml
non-halophile	Non-halophile	2	METPO:1000465 (EXACT_SYNONYM: Non-halophile) | METPO:1000469 (EXACT_SYNONYM: Non-halophile)	data/traits/environment/nacl_optimum_low.yaml | data/traits/environment/nacl_range_low.yaml
slight halophile	Slight halophile	2	METPO:1000466 (EXACT_SYNONYM: Slight halophile) | METPO:1000470 (EXACT_SYNONYM: Slight halophile)	data/traits/environment/nacl_optimum_mid1.yaml | data/traits/environment/nacl_range_mid1.yaml
thermophile	Thermophile	2	METPO:1000447 (EXACT_SYNONYM: Thermophile) | METPO:1000454 (EXACT_SYNONYM: Thermophile)	data/traits/environment/temperature_optimum_high.yaml | data/traits/environment/temperature_range_high.yaml
