curie	change_type	field	disposition	related_trait	rationale
METPO:1004005	ADDED	entity	OUT_OF_SCOPE_NON_TRAIT_ENTITY		growth medium is a material entity, not a microbial trait
METPO:1005001	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005010	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005011	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005012	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005013	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005014	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005015	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005016	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005017	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005018	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005021	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005025	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005026	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005027	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005031	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000060	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1005032	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005033	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000059	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1005034	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000058	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1005035	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000057	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1005036	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005037	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1005038	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000104	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1005039	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000103	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1005040	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007005	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000056	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007006	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007062	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007063	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007064	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007065	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007066	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007067	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007068	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007069	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007070	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000003	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007071	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000001	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007072	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000007	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007073	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007074	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000012	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007076	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000063	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007077	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000053	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007080	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
