label	node_type	count	curie	name	status
bicarbonate	CHEMICAL	8	CHEBI:17544	hydrogencarbonate	unique
pyruvate	CHEMICAL	7	CHEBI:15361	pyruvate	unique
biofilm formation	BIOLOGICAL_PROCESS	6	GO:0042710	biofilm formation	unique
atp synthesis	BIOLOGICAL_PROCESS	6	GO:0006754	ATP biosynthetic process	unique
hydrogen peroxide	CHEMICAL	6	CHEBI:16240	hydrogen peroxide	unique
ectoine	CHEMICAL	6	CHEBI:27592	ectoine	unique
glycine betaine	CHEMICAL	6	CHEBI:17750	glycine betaine	unique
unsaturated fatty acids	CHEMICAL	6	CHEBI:27208	unsaturated fatty acid	unique
cyclic di-amp	CHEMICAL	6	CHEBI:71578	cyclic di-AMP	unique
atp	CHEMICAL	6	CHEBI:15422|CHEBI:30616		ambiguous
acetyl-coa	CHEMICAL	6	CHEBI:15351|CHEBI:57288		ambiguous
trehalose	CHEMICAL	5	CHEBI:16551|CHEBI:27082		ambiguous
formate	CHEMICAL	5	CHEBI:15740|CHEBI:52343		ambiguous
oxygen	CHEMICAL	5	CHEBI:15379|CHEBI:25805		ambiguous
lycopene	CHEMICAL	5	CHEBI:15948	lycopene	unique
reactive oxygen species	CHEMICAL	4	CHEBI:26523	reactive oxygen species	unique
carboxysome	ORGANELLE	4	GO:0031470	carboxysome	unique
sulfite	CHEMICAL	4	CHEBI:17359|CHEBI:26823|CHEBI:48854		ambiguous
quorum sensing	BIOLOGICAL_PROCESS	3	GO:0009372	quorum sensing	unique
glycine betaine biosynthesis	BIOLOGICAL_PROCESS	3	GO:0031456	glycine betaine biosynthetic process	unique
ectoine biosynthesis	BIOLOGICAL_PROCESS	3	GO:0019491	ectoine biosynthetic process	unique
sodium ion	CHEMICAL	3	CHEBI:29101	sodium(1+)	unique
l-proline	CHEMICAL	3	CHEBI:17203|CHEBI:50342|CHEBI:60039		ambiguous
reduced ferredoxin	CHEMICAL	3	CHEBI:17513	reduced ferredoxin	unique
beta-carotene	CHEMICAL	3	CHEBI:17579	beta-carotene	unique
cell pole	CELLULAR_LOCALIZATION	3	GO:0060187	cell pole	unique
immune evasion	BIOLOGICAL_PROCESS	2	GO:0042783|GO:0051842		ambiguous
cellulose	CHEMICAL	2	CHEBI:18246	(1->4)-beta-D-glucan	unique
lignin	CHEMICAL	2	CHEBI:6457	lignin	unique
superoxide dismutase activity	MOLECULAR_FUNCTION	2	GO:0004784	superoxide dismutase activity	unique
potassium ion	CHEMICAL	2	CHEBI:29103	potassium(1+)	unique
superoxide	CHEMICAL	2	CHEBI:18421	superoxide	unique
homologous recombination	BIOLOGICAL_PROCESS	2	GO:0035825	homologous recombination	unique
unsaturated fatty acid biosynthesis	BIOLOGICAL_PROCESS	2	GO:0006636	unsaturated fatty acid biosynthetic process	unique
nitrite	CHEMICAL	2	CHEBI:16301	nitrite	unique
nitrous oxide	CHEMICAL	2	CHEBI:17045	dinitrogen oxide	unique
carbon catabolite repression	BIOLOGICAL_PROCESS	2	GO:0045013|GO:0061985		ambiguous
oxaloacetate	CHEMICAL	2	CHEBI:16452	oxaloacetate(2-)	unique
4-hydroxybutyryl-coa	CHEMICAL	2	CHEBI:28522	4-hydroxybutyryl-CoA	unique
crotonyl-coa	CHEMICAL	2	CHEBI:15473|CHEBI:36926		ambiguous
nadh	CHEMICAL	2	CHEBI:16908|CHEBI:57945		ambiguous
nad+	CHEMICAL	2	CHEBI:15846	NAD(+)	unique
acetate	CHEMICAL	2	CHEBI:30089|CHEBI:47622		ambiguous
succinate	CHEMICAL	2	CHEBI:26806|CHEBI:30031		ambiguous
succinyl-coa	CHEMICAL	2	CHEBI:15380|CHEBI:57292		ambiguous
propionyl-coa	CHEMICAL	2	CHEBI:15539	propionyl-CoA	unique
4-hydroxyphenylpyruvate	CHEMICAL	2	CHEBI:36242	3-(4-hydroxyphenyl)pyruvate	unique
lipid ii	CHEMICAL	2	CHEBI:27692	lipid II	unique
daughter cell separation	BIOLOGICAL_PROCESS	2	GO:0000920	septum digestion after cytokinesis	unique
cyclic di-gmp	CHEMICAL	2	CHEBI:49537	c-di-GMP	unique
oxygen	ENVIRONMENTAL_FACTOR	2	ENVO:01001495	dioxygen dissolved in marine water	unique
spore coat	CELLULAR_LOCALIZATION	2	GO:0031160	spore wall	unique
extracellular matrix	CELLULAR_LOCALIZATION	1	GO:0031012	extracellular matrix	unique
nitric oxide	CHEMICAL	1	CHEBI:16480	nitric oxide	unique
flavonoids	CHEMICAL	1	CHEBI:47916|CHEBI:72544		ambiguous
organic acids	CHEMICAL	1	CHEBI:64709	organic acid	unique
plant tissue colonization	BIOLOGICAL_PROCESS	1	GO:0140649	cell-to-cell migration by invasive hypha	unique
plant cell wall	CELLULAR_LOCALIZATION	1	GO:0009505	plant-type cell wall	unique
hemicellulose	CHEMICAL	1	CHEBI:61266	hemicellulose	unique
flagellar motility	BIOLOGICAL_PROCESS	1	GO:0003341	cilium movement	unique
