path	identifier	n_citations	citations	malformed	passes
data/traits/metabolism/aromatic_compound_degradation.yaml	traitmech:000130	2	DOI:10.1126/science.aaf4507; DOI:10.3390/ijerph6010278		yes
data/traits/metabolism/aromatic_hydrocarbon_degradation.yaml	traitmech:000129	2	DOI:10.1126/science.aaf4507; DOI:10.1007/BF00058836		yes
data/traits/metabolism/dark_hydrogen_oxidation.yaml	traitmech:000131	2	DOI:10.1126/science.aaf4507; DOI:10.21775/cimb.006.159		yes
data/traits/metabolism/dark_oxidation_of_sulfur_compounds.yaml	traitmech:000132	2	DOI:10.1126/science.aaf4507; DOI:10.1111/j.1574-6976.2009.00187.x		yes
data/traits/metabolism/hydrocarbon_degradation.yaml	traitmech:000128	2	DOI:10.1126/science.aaf4507; DOI:10.1128/MR.54.3.305-315.1990		yes
data/traits/metabolism/hydrogenotrophic_methanogenesis.yaml	traitmech:000127	2	DOI:10.1126/science.aaf4507; DOI:10.1146/annurev-micro-011720-122807		yes
data/traits/metabolism/methanol_oxidation.yaml	traitmech:000133	2	DOI:10.1126/science.aaf4507; DOI:10.3389/fbioe.2021.787791		yes
data/traits/metabolism/nitrate_reduction.yaml	traitmech:000134	2	DOI:10.1126/science.aaf4507; DOI:10.1038/nrmicro.2018.9		yes
data/traits/metabolism/nitrate_respiration.yaml	traitmech:000122	2	DOI:10.1126/science.aaf4507; DOI:10.1126/science.1254070		yes
data/traits/metabolism/nitrite_respiration.yaml	traitmech:000123	2	DOI:10.1126/science.aaf4507; DOI:10.1128/aem.00292-25		yes
data/traits/metabolism/nitrogen_respiration.yaml	traitmech:000121	2	DOI:10.1126/science.aaf4507; DOI:10.1128/mmbr.61.4.533-616.1997		yes
data/traits/metabolism/respiration_of_sulfur_compounds.yaml	traitmech:000124	2	DOI:10.1126/science.aaf4507; DOI:10.3389/fmicb.2023.1108245		yes
data/traits/metabolism/sulfur_respiration.yaml	traitmech:000125	2	DOI:10.1126/science.aaf4507; DOI:10.3389/fmicb.2023.1108245		yes
data/traits/metabolism/thiosulfate_respiration.yaml	traitmech:000126	2	DOI:10.1126/science.aaf4507; DOI:10.3389/fmicb.2023.1108245		yes
