# generated by scripts/audit_research_groundings.py from 354 reports; 1733 pairs checked; 467 distinct findings
verdict	curie	claimed_label	ontology_label	replacement_curie	similarity	occurrences
MERGED	CHEBI:14341	ectoine	dihydroxyacetone phosphate	CHEBI:16108	0.00	1
MERGED	CHEBI:18498	sulfate respiration	(-)-trans-isopiperitenol	CHEBI:15406	0.00	1
MERGED	CHEBI:18498	sulfite	(-)-trans-isopiperitenol	CHEBI:15406	0.00	1
MERGED	CHEBI:25385	moenomycin	monodehydro-L-ascorbic acid	CHEBI:16504	0.00	1
MERGED	CHEBI:32974	p-coumaric acid	3-hydroxypropyl dihydrogen phosphate	CHEBI:44981	0.00	1
MERGED	CHEBI:42899	ectoine	L-glutamine	CHEBI:18050	0.00	1
MERGED	CHEBI:65033	3-oxo-c12-hsl	6,8-dimethyl-6,7-didehydroergolin-6-ium	CHEBI:65034	0.00	1
MERGED	CHEBI:7744	wall teichoic acid (wta)		CHEBI:16657	0.00	1
MERGED	CHEBI:9569	thiosulfate oxidation by hydrogenovibrio strain 104	thiosulfate(2-)	CHEBI:16094	0.00	1
MERGED	GO:0001130	flia (sigma-28, σ28)	DNA-binding transcription factor activity	GO:0003700	0.00	1
MERGED	GO:0004884	methyl-accepting chemotaxis protein / chemoreceptor	nuclear receptor activity	GO:0004879	0.00	1
MERGED	GO:0006818	hydrogen-ion transport	proton transmembrane transport	GO:1902600	0.00	1
MERGED	GO:0008178	ammonia (nh3)	apoptotic DNA fragmentation	GO:0006309	0.00	1
MERGED	GO:0009878	nodule organogenesis	nodulation	GO:0009877	0.00	1
MERGED	GO:0009878	root nodule	nodulation	GO:0009877	0.00	1
MERGED	GO:0015992	aerobic respiratory electron transfer	proton transmembrane transport	GO:1902600	0.00	1
MERGED	GO:0015992	canonical chemiosmosis	proton transmembrane transport	GO:1902600	0.00	1
MERGED	GO:0015992	gene/gene cluster	proton transmembrane transport	GO:1902600	0.00	1
MERGED	GO:0015992	hydrogen oxidation	proton transmembrane transport	GO:1902600	0.00	1
