record_path	record_id	record_label	grounding_role	grounding_curie	ontology_label	record_label_match	declared_exact_synonyms	missing_exact_synonyms	status	oak_status	source_version
data/traits/ecology/animal_pathogen.yaml	METPO:1004002	animal pathogen	identifier	METPO:1004002	animal pathogen	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/biofilm_formation.yaml	traitmech:000053	biofilm formation	identifier	traitmech:000053					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/biosafety_level.yaml	METPO:1001101	biosafety level	identifier	METPO:1001101	biosafety level	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/biosafety_level_1.yaml	METPO:1001102	biosafety level 1	identifier	METPO:1001102	biosafety level 1	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/biosafety_level_2.yaml	METPO:1001103	biosafety level 2	identifier	METPO:1001103	biosafety level 2	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/biosafety_level_3.yaml	METPO:1001104	biosafety level 3	identifier	METPO:1001104	biosafety level 3	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/biosafety_level_4.yaml	METPO:1001105	biosafety level 4	identifier	METPO:1001105	biosafety level 4	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/biosafety_level_5.yaml	METPO:1001106	biosafety level 5	identifier	METPO:1001106	biosafety level 5	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/commensalism.yaml	traitmech:000042	commensalism	identifier	traitmech:000042					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/endosymbiosis.yaml	traitmech:000045	endosymbiosis	identifier	traitmech:000045					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/free_living.yaml	traitmech:000048	free-living	identifier	traitmech:000048					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/gut_associated.yaml	traitmech:000052	gut-associated	identifier	traitmech:000052					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/habitat_association.yaml	traitmech:000047	habitat association	identifier	traitmech:000047					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/host_associated.yaml	traitmech:000049	host-associated	identifier	traitmech:000049					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/human_pathogen.yaml	METPO:1004004	human pathogen	identifier	METPO:1004004	human pathogen	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/mutualism.yaml	traitmech:000041	mutualism	identifier	traitmech:000041					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/nitrogen_fixing_symbiosis.yaml	traitmech:000044	nitrogen-fixing symbiosis	identifier	traitmech:000044					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/opportunistic_pathogen.yaml	traitmech:000046	opportunistic pathogen	identifier	traitmech:000046					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/parasitism.yaml	traitmech:000043	parasitism	identifier	traitmech:000043					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/pathogenic_to_host.yaml	METPO:1004000	pathogenic to host	identifier	METPO:1004000	pathogenic to host	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/plant_pathogen.yaml	METPO:1004003	plant pathogen	identifier	METPO:1004003	plant pathogen	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/ecology/predatory_bacterium.yaml	traitmech:000054	predatory bacterium	identifier	traitmech:000054					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/rhizosphere_association.yaml	traitmech:000051	rhizosphere association	identifier	traitmech:000051					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/saprotrophy.yaml	traitmech:000055	saprotrophy	identifier	traitmech:000055					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/soil_dwelling.yaml	traitmech:000050	soil-dwelling	identifier	traitmech:000050					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/ecology/symbiosis.yaml	traitmech:000040	symbiosis	identifier	traitmech:000040					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/environment/acidophilic.yaml	METPO:1003003	acidophilic	identifier	METPO:1003003	acidophilic	CANONICAL_LABEL	acidophil | acidophile		EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/acidotolerant.yaml	METPO:1003008	acidotolerant	identifier	METPO:1003008	acidotolerant	CANONICAL_LABEL	aciduric		EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/aerobic.yaml	METPO:1000602	aerobic	identifier	METPO:1000602	aerobic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/aerobic.yaml	METPO:1000602	aerobic	xref	PATO:0001455	aerobic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2025-05-14/pato.obo
data/traits/environment/aerotolerant.yaml	METPO:1000609	aerotolerant	identifier	METPO:1000609	aerotolerant	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/alkalotolerant.yaml	METPO:1003009	alkalotolerant	identifier	METPO:1003009	alkalotolerant	CANONICAL_LABEL	alkalitolerant		EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/alkaphilic.yaml	METPO:1003002	alkaphilic	identifier	METPO:1003002	alkaliphilic	NO_EXACT_LABEL_MATCH	alkaliphile | alkaliphilic | alkalophile | alkalophilic		GROUNDING_LABEL_MISMATCH	DIFFERS	2026-06-12
data/traits/environment/anaerobic.yaml	METPO:1000603	anaerobic	identifier	METPO:1000603	anaerobic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/anaerobic.yaml	METPO:1000603	anaerobic	xref	PATO:0001456	anaerobic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2025-05-14/pato.obo
data/traits/environment/arsenic_tolerant.yaml	traitmech:000017	arsenic tolerant	identifier	traitmech:000017					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/environment/cadmium_tolerant.yaml	traitmech:000013	cadmium tolerant	identifier	traitmech:000013					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/environment/cobalt_tolerant.yaml	traitmech:000015	cobalt tolerant	identifier	traitmech:000015					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/environment/copper_tolerant.yaml	traitmech:000018	copper tolerant	identifier	traitmech:000018					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/environment/delta_phenotype_with_numerical_limits.yaml	METPO:1000534	delta phenotype with numerical limits	identifier	METPO:1000534	delta phenotype with numerical limits	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/desiccation_tolerant.yaml	traitmech:000010	desiccation tolerant	identifier	traitmech:000010					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/environment/euryhaline.yaml	METPO:1000627	euryhaline	identifier	METPO:1000627	euryhaline	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/extreme_hyperthermophilic.yaml	METPO:1000721	extreme hyperthermophilic	identifier	METPO:1000721	extreme hyperthermophilic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/extremely_halophilic.yaml	METPO:1000628	extremely halophilic	identifier	METPO:1000628	extremely halophilic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/facultative_oxygen_preference.yaml	METPO:1000612	facultative oxygen preference	identifier	METPO:1000612	facultative oxygen preference	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/facultative_psychrophilic.yaml	METPO:1000720	facultative psychrophilic	identifier	METPO:1000720	facultative psychrophilic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/facultatively_acidophilic.yaml	METPO:1003007	facultatively acidophilic	identifier	METPO:1003007	facultatively acidophilic	CANONICAL_LABEL	facultative acidophile | facultatively acidophilic		EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/facultatively_aerobic.yaml	METPO:1000608	facultatively aerobic	identifier	METPO:1000608	facultatively aerobic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/facultatively_alkaphilic.yaml	METPO:1003005	facultatively alkaphilic	identifier	METPO:1003005	facultatively alkaliphilic	NO_EXACT_LABEL_MATCH	facultative alkaliphile | facultative alkaphilic | facultatively alkaliphilic		GROUNDING_LABEL_MISMATCH	DIFFERS	2026-06-12
data/traits/environment/facultatively_anaerobic.yaml	METPO:1000605	facultatively anaerobic	identifier	METPO:1000605	facultatively anaerobic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml	METPO:1000535	growth range phenotype with numerical limits	identifier	METPO:1000535	growth range phenotype with numerical limits	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/haloalkaliphilic.yaml	METPO:1000621	haloalkaliphilic	identifier	METPO:1000621	haloalkaliphilic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/halophilic.yaml	METPO:1000620	halophilic	identifier	METPO:1000620	halophilic	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/environment/halophily_preference.yaml	METPO:1000629	halophily preference	identifier	METPO:1000629	halophily preference	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
