file	graph_id	node_id	label	accession	status	uniprot_name	organism	replacement	reused_in_n_files
data/traits/environment/alkalotolerant.yaml	alkalotolerant_alkaline_stress_homeostasis	cation_proton_antiporter	cation/proton antiporter	A0A0H3JRG4	unreviewed	Cation/proton antiporter	Escherichia coli O157:H7		2
data/traits/environment/facultatively_aerobic.yaml	facultative_aerobe_oxygen_flexible_growth	cytochrome_bd_oxidase	cytochrome bd oxidase	Q6L5L4	unreviewed	Cytochrome bd oxidase	Acidithiobacillus ferrooxidans		1
data/traits/environment/neutrophilic.yaml	neutrophilic_neutral_ph_homeostasis	cation_proton_antiporter	cation/proton antiporter	A0A0H3JRG4	unreviewed	Cation/proton antiporter	Escherichia coli O157:H7		2
data/traits/environment/ph_optimum_mid2.yaml	ph_optimum_mid2_alkaline_tolerant_setpoint	k_h_antiporters	K+/H+ antiporters	A0A1Z4VR00	unreviewed	Na+/H+ and K+/H+ antiporters	Thiohalobacter thiocyanaticus		1
data/traits/environment/temperature_optimum_mid4.yaml	temperature_optimum_mid4_warm_mesophile	ftsh_protease	FtsH protease	A0A0D7UY21	unreviewed	Uncharacterized protein	Vreelandella aquamarina		1
data/traits/metabolism/aerobic_respiration.yaml	aerobic_respiration_terminal_oxidase	cytochrome_c_oxidase	cytochrome c oxidase	A0A075NZN5	unreviewed	Cytochrome C oxidase	Alteromonas australica		2
data/traits/metabolism/denitrification.yaml	denitrification_stepwise_nitrate_to_n2	nirs	cytochrome cd1 nitrite reductase NirS	I0HLW6	unreviewed	Nitrite reductase	Rubrivivax gelatinosus (strain NBRC 100245 / IL144)		1
data/traits/metabolism/denitrification.yaml	denitrification_stepwise_nitrate_to_n2	nosz	nitrous oxide reductase NosZ	Q30PN7	unreviewed	Nitrous oxide reductase NosZ	Sulfurimonas denitrificans (strain ATCC 33889 / DSM 1251)		1
data/traits/metabolism/electron_transfer.yaml	electron_transfer_redox_carriers	terminal_oxidase	terminal oxidase	A0A2U9ILE5	unreviewed	Aa3-type terminal oxidase	Acidianus sulfidivorans JP7		2
data/traits/metabolism/fermentation.yaml	fermentation_redox_energy	fnor	ferredoxin:NAD+ oxidoreductase	I3R731	unreviewed	Ferredoxin:NAD+ oxidoreductase	Haloferax mediterranei (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4)		1
data/traits/metabolism/manganese_oxidation.yaml	manganese_oxidation_multicopper_oxidase	multicopper_oxidase	multicopper oxidase	A0A059ZYC2	unreviewed	Multicopper oxidase	Acidithiobacillus caldus (strain ATCC 51756 / DSM 8584 / KU)		1
data/traits/metabolism/methanogenesis.yaml	methanogenesis_c1_reduction	methyl_coenzyme_m_reductase	methyl-coenzyme M reductase	A0A099T5Q9	unreviewed	Methyl-coenzyme M reductase	Methanococcoides methylutens		1
data/traits/metabolism/nitrogen_fixation.yaml	nitrogen_fixation_nitrogenase	nitrogenase	nitrogenase	A0A089HR75	unreviewed	Nitrogenase	Paenibacillus durus		1
data/traits/metabolism/oxidative_phosphorylation.yaml	oxidative_phosphorylation_chemiosmotic_coupling	terminal_oxidase	terminal oxidase	A0A2U9ILE5	unreviewed	Aa3-type terminal oxidase	Acidianus sulfidivorans JP7		2
data/traits/metabolism/proteorhodopsin_phototrophy.yaml	proteorhodopsin_light_driven_proton_pump	proteorhodopsin	proteorhodopsin	A0A1D7QWW9	unreviewed	Proteorhodopsin	Salisediminibacterium beveridgei		2
data/traits/metabolism/three_hydroxypropionate_bicycle.yaml	three_hp_bicycle_chloroflexus	malonyl_coa_reductase	malonyl-CoA reductase	Q6QQP7	unreviewed	Malonyl-CoA reductase	Chloroflexus aurantiacus		1
data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml	three_hp_four_hb_sulfolobales	acetyl_propionyl_coa_carboxylase	acetyl-CoA/propionyl-CoA carboxylase	A0A650CEQ7	unreviewed	Methylmalonyl-CoA carboxyltransferase	Sulfurisphaera ohwakuensis		1
data/traits/metabolism/wood_ljungdahl_pathway.yaml	wood_ljungdahl_reductive_acetyl_coa	methyltransferase	methyltransferase	A0A0C5IX96	unreviewed	Methyltransferase	Rugosibacter aromaticivorans		1
data/traits/morphology/amphitrichous.yaml	amphitrichous_bipolar_flagella	flhg_atpase	FlhG	Q2N2M1	unreviewed	FlhG	Aeromonas hydrophila		5
data/traits/morphology/bacillus_shaped.yaml	bacillus_shaped_rod_elongation	ftsZ	FtsZ	C0LUM8	unreviewed	FtsZ	Lacticaseibacillus casei		6
data/traits/morphology/bacillus_shaped.yaml	bacillus_shaped_rod_elongation	rodZ	RodZ	H1XNL6	unreviewed	Cytoskeleton protein RodZ-like C-terminal domain-containing protein	Caldithrix abyssi (strain DSM 13497 / VKM B-2286 / LF13)		2
data/traits/morphology/black_pigmented.yaml	black_pigmented_melanin_polymer	polyketide_synthase	polyketide synthase (PKS)	Q5Y9G5	unreviewed	EryAII acyl transferase domain in polyketide synthase (PKS)	Aeromicrobium erythreum		1
data/traits/morphology/carotenoid_pigmentation.yaml	carotenoid_pigmentation_crt_pathway	phytoene_desaturase	phytoene desaturase	A0A060JDC8	unreviewed	Phytoene desaturase	Rhodoluna lacicola		1
data/traits/morphology/cell_length_large.yaml	cell_length_large_division_delay	sula_protein	SulA	H8YHZ0	unreviewed	Cell division inhibitor-related protein, SulA-like protein	Simiduia agarivorans (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1)		2
data/traits/morphology/cell_length_large.yaml	cell_length_large_division_delay	ftsz_protein	FtsZ	C0LUM8	unreviewed	FtsZ	Lacticaseibacillus casei		6
data/traits/morphology/cell_shape.yaml	cell_shape_peptidoglycan_cytoskeleton	ftsZ	FtsZ	C0LUM8	unreviewed	FtsZ	Lacticaseibacillus casei		6
